291 4
1.245  -0.928  0.900  0.000
0.488  0.731  0.000  0.000
0.554  0.732  0.900  0.000
0.488  0.731  1.000  0.000
0.556  0.621  0.800  0.000
0.419  0.841  0.900  0.000
0.359  0.395  0.900  0.000
0.026  0.280  1.000  0.000
1.380  -1.037  0.700  0.000
0.422  0.619  1.000  0.000
1.043  -0.819  0.900  0.000
0.620  0.844  0.800  0.000
1.784  -1.254  0.900  0.000
1.982  -1.140  0.900  0.000
0.982  -1.265  1.000  0.000
0.488  0.731  0.900  0.000
0.557  0.509  0.500  0.000
0.488  0.731  0.900  0.000
0.421  0.730  0.800  0.000
0.284  0.951  0.600  0.000
1.178  -0.929  1.100  0.000
0.486  0.842  0.600  0.000
0.621  0.733  0.800  0.000
1.183  -1.262  1.100  0.000
1.313  -1.038  0.900  0.000
1.054  -1.598  0.700  0.000
0.906  -0.599  1.000  0.000
0.553  0.843  0.800  0.000
0.418  0.952  0.000  0.000
1.177  -0.817  1.100  0.000
0.092  0.392  2.000  0.000
0.278  1.396  0.500  0.000
1.451  -1.370  1.000  0.000
0.841  -0.711  0.500  0.000
0.840  -0.600  0.900  0.000
0.360  0.284  0.100  0.000
0.626  0.399  0.900  0.000
0.840  -0.600  0.900  0.000
0.709  -0.824  0.200  0.000
0.905  -0.487  0.900  0.000
0.498  -0.048  2.000  0.000
1.043  -0.819  0.900  0.000
2.358  0.645  0.000  0.000
0.773  -0.600  0.900  0.000
2.324  -1.692  2.700  0.000
0.906  -0.599  0.000  0.000
1.040  -0.597  0.900  0.000
0.975  -0.709  0.900  0.000
0.838  -0.488  0.900  0.000
0.843  -0.822  0.900  0.000
0.840  -0.600  0.900  0.000
0.973  -0.598  0.900  0.000
0.975  -0.709  0.300  0.000
0.771  -0.489  0.800  0.000
0.571  -0.492  1.100  0.000
1.180  -1.040  0.900  0.000
0.553  0.843  0.800  0.000
0.559  0.398  0.900  0.000
0.773  -0.600  0.900  0.000
1.040  -0.597  0.900  0.000
0.838  -0.488  0.900  0.000
0.771  -0.489  0.800  0.000
0.705  -0.490  0.900  0.000
1.243  -0.816  0.900  0.000
0.906  -0.599  0.900  0.000
0.773  -0.600  0.900  0.000
0.186  -1.610  1.100  0.000
0.838  -0.488  0.800  0.000
0.586  -1.604  2.400  0.000
0.551  0.954  0.600  0.000
1.234  -0.149  0.800  0.000
0.840  -0.600  0.900  0.000
0.972  -0.486  1.200  0.000
0.627  0.288  0.700  0.000
0.642  -0.825  1.100  0.000
1.180  -1.040  0.800  0.000
0.838  -0.488  0.900  0.000
0.706  -0.601  0.900  0.000
0.840  -0.600  0.900  0.000
