           1          11
   4.0403870412121498E-002   6.7767924738062521E-002
   4.1648093225259359E-003   2.5128498364968339E-002
   7.0663374276986202E-003   9.1432365167753854E-003
   1.5741678653108349E-003   8.4707951495588737E-003
   7.5045140685337866E-003   2.8854875431595109E-002
   1.1678865508148184E-003   2.0480723527837710E-002
   2.8052129086351989E-004   3.8999500693520412E-004
   4.5786891098154444E-003   4.6709264988710466E-003
   2.1708686032776881E-003   2.2899918815330583E-002
   9.6333636825190316E-003   5.8692233883471286E-003
   1.0087731601457982E-003   3.1566654153067303E-003
   9.7905177110784031E-003   1.5271091280801011E-002
